world_size,tokens_per_s,peak_gb,params,config
1,8859,21.40,201944064,L16_E1024_b32_s512_fp32
2,15788,21.40,201944064,L16_E1024_b32_s512_fp32
4,31771,21.40,201944064,L16_E1024_b32_s512_fp32
